,Portfolio Value,Cash,Units
296,9822.155261451253,28365.0,-32.10193836619989
297,9822.797300218575,28365.0,-32.10193836619989
298,9820.58226647131,28365.0,-32.10193836619989
299,9821.192203300268,28365.0,-32.10193836619989
300,9820.22914514928,28365.0,-32.10193836619989
301,9822.476280834915,28365.0,-32.10193836619989
302,9820.550164532942,28365.0,-32.10193836619989
303,9819.587106381958,28365.0,-32.10193836619989
304,9820.710674224772,28365.0,-32.10193836619989
305,9820.042953906757,28365.0,-32.10193836619989
306,9821.031693608436,28365.0,-32.10193836619989
307,9816.697931928999,28365.0,-32.10193836619989
308,9814.129776859703,28365.0,-32.10193836619989
309,9811.500628107511,28365.0,-32.10193836619989
310,9812.845699325055,28365.0,-32.10193836619989
311,9814.450796243365,28365.0,-32.10193836619989
312,9816.055893161674,28365.0,-32.10193836619989
313,9815.09283501069,28365.0,-32.10193836619989
314,9814.068783176808,28365.0,-32.10193836619989
315,9814.450796243365,28365.0,-32.10193836619989
316,9814.675509811928,28365.0,-32.10193836619989
317,9817.660990079985,28365.0,-32.10193836619989
318,9826.328513438859,28365.0,-32.10193836619989
319,9821.574216366824,28365.0,-32.10193836619989
320,9822.797300218575,28365.0,-32.10193836619989
321,9819.90812576562,28365.0,-32.10193836619989
322,9821.452229001032,28365.0,-32.10193836619989
323,9822.543694905486,28365.0,-32.10193836619989
324,9820.22914514928,28365.0,-32.10193836619989
325,9823.920868061394,28365.0,-32.10193836619989
326,9825.044435904212,28365.0,-32.10193836619989
327,9831.464823577451,28365.0,-32.10193836619989
328,9827.615801167343,28365.0,-32.10193836619989
329,9830.819574616291,28365.0,-32.10193836619989
330,9826.970552206181,28365.0,-32.10193836619989
331,9829.082859750679,28365.0,-32.10193836619989
332,9830.822784810127,28365.0,-32.10193836619989
333,9828.25462974083,28365.0,-32.10193836619989
334,9832.427881728436,28365.0,-32.10193836619989
335,9827.612590973507,28365.0,-32.10193836619989
336,9826.588539139626,28365.0,-32.10193836619989
337,9830.180746042803,28365.0,-32.10193836619989
338,9831.143804193789,28365.0,-32.10193836619989
339,9833.069920495762,28365.0,-32.10193836619989
340,9833.711959263086,28365.0,-32.10193836619989
341,9834.293004347513,28365.0,-32.10193836619989
342,9828.931980640356,28365.0,-32.10193836619989
343,9824.723416520548,28365.0,-32.10193836619989
344,9824.081377753226,28365.0,-32.10193836619989
345,9823.11831960224,28365.0,-32.10193836619989
346,9820.710674224772,28365.0,-32.10193836619989
347,9823.278829294071,28365.0,-32.10193836619989
348,9820.945018374849,28365.0,-32.10193836619989
349,9820.710674224772,28365.0,-32.10193836619989
350,9819.90812576562,28365.0,-32.10193836619989
351,9824.081377753226,28365.0,-32.10193836619989
352,9826.649532822521,28365.0,-32.10193836619989
353,9823.760358369564,28365.0,-32.10193836619989
